dateTime;steps;synced
1562004600;41;0
1562005200;65;0
1562005800;86;0
1562006400;163;0
1562007000;234;0
1562007600;258;0
1562008800;385;0
1562009400;757;0
1562010000;829;0
1562041200;41;0
1562041800;209;0
1562042400;689;0
1562043000;744;0
1562043600;827;0
1562044200;924;0
1562044800;1045;0
1562045400;1887;0
1562046000;1960;0
1562046600;1970;0
1562049000;2939;0
1562049600;3939;0
1562050200;4440;0
1562050800;4913;0
1562051400;4964;0
1562052000;5002;0
1562052600;5034;0
1562054400;5094;0
1562055000;5149;0
1562055600;5218;0
1562056800;5251;0
1562057400;5301;0
1562058000;5326;0
1562059200;5472;0
1562064600;5568;0
1562065200;5722;0
1562065800;5736;0
1562066400;5751;0
1562067600;5762;0
1562069400;5822;0
1562070000;6325;0
1562070600;7334;0
1562071200;8344;0
1562071800;8581;0
1562074200;8591;0
1562074800;8637;0
1562076000;9039;0
1562076600;9653;0
1562077200;9823;0
1562077800;10007;0
1562078400;10068;0
1562079000;10378;0
1562079600;10661;0
1562080200;10793;0
1562080800;11169;0
1562081400;11377;0
1562082000;11578;0
1562082600;11929;0
1562083200;12239;0
1562083800;12830;0
1562084400;13263;0
1562085000;13879;0
1562085600;14428;0
1562086200;14747;0
1562086800;15234;0
1562087400;15359;0
1562088000;15396;0
1562088600;15509;0
1562089200;15631;0
1562089800;15675;0
1562090400;15783;0
1562091000;15956;0
1562091600;16153;0
1562092200;16484;0
1562092800;16943;0
1562093400;17355;0
1562094000;17579;0
1562094600;17717;0
1562095200;17752;0
1562095800;18032;0
1562096400;18200;0
1562097000;18211;0
1562097600;18373;0
1562098200;18513;0
1562098800;18549;0
1562099400;18562;0
1562127600;64;0
1562128200;336;0
1562128800;360;0
1562129400;422;0
1562130000;491;0
1562130600;628;0
1562131200;1056;0
1562131800;1601;0
1562132400;1682;0
1562134800;2211;0
1562135400;2787;0
1562136000;3800;0
1562136600;4587;0
1562137200;4766;0
1562138400;4787;0
1562140200;4852;0
1562140800;5444;0
1562141400;5506;0
1562142000;5646;0
1562144400;5694;0
1562145000;5772;0
1562145600;6240;0
1562146200;6299;0
1562149800;6313;0
1562151600;6340;0
1562155200;6444;0
1562155800;6456;0
1562156400;6482;0
1562157000;7325;0
1562157600;8319;0
1562158200;9310;0
1562158800;9363;0
1562159400;9437;0
1562160600;9460;0
1562161200;9476;0
1562161800;9521;0
1562162400;9841;0
1562163000;10481;0
1562163600;10516;0
1562164200;10583;0
1562164800;10684;0
1562165400;10949;0
1562166000;10972;0
1562166600;11058;0
1562167200;11170;0
1562167800;11267;0
1562168400;11398;0
1562169600;11462;0
1562170200;11853;0
1562170800;12081;0
1562171400;12311;0
1562172000;12669;0
1562172600;12789;0
1562173200;12941;0
1562173800;13098;0
1562174400;13111;0
1562175000;13522;0
1562175600;13563;0
1562176800;13657;0
1562177400;14081;0
1562178000;14187;0
1562178600;14401;0
1562179200;14588;0
1562179800;14648;0
1562180400;14683;0
1562181000;14751;0
1562181600;14863;0
1562182200;14913;0
1562182800;15023;0
1562183400;15057;0
1562184000;15068;0
1562184600;15114;0
1562185200;15307;0
1562185800;15324;0
1562186400;15393;0
1562187000;15420;0
1562217000;78;0
1562217600;153;0
1562218200;1014;0
1562218800;1043;0
1562219400;1053;0
1562221200;1771;0
1562221800;2799;0
1562222400;3453;0
1562223000;3793;0
1562224200;3973;0
1562224800;4162;0
1562227200;4201;0
1562229000;4336;0
1562230800;4353;0
1562231400;4379;0
1562232600;4399;0
1562236800;4440;0
1562237400;4539;0
1562238000;4553;0
1562240400;4605;0
1562242200;4624;0
1562242800;5323;0
1562243400;5338;0
1562244000;6049;0
1562244600;6098;0
1562245800;6529;0
1562246400;7554;0
1562247000;8160;0
1562248800;8173;0
1562250600;8183;0
1562251200;8305;0
1562251800;8947;0
1562252400;9347;0
1562253000;9637;0
1562253600;9875;0
1562254200;9934;0
1562254800;9951;0
1562255400;10090;0
1562256000;10149;0
1562256600;10192;0
1562257200;10321;0
1562257800;10805;0
1562258400;11237;0
1562259000;11283;0
1562260800;11298;0
1562261400;11382;0
1562262000;11498;0
1562262600;11602;0
1562263200;12178;0
1562263800;12619;0
1562264400;12876;0
1562265000;13192;0
1562265600;13484;0
1562266200;13783;0
1562266800;13978;0
1562267400;14145;0
1562268000;14650;0
1562268600;14711;0
1562269200;14743;0
1562269800;14976;0
1562270400;14994;0
1562271000;15059;0
1562271600;15336;0
1562272200;15576;0
1562272800;15654;0
1562275200;15705;0
1562275800;15819;0
1562276400;15882;0
1562277000;15944;0
1562306400;89;0
1562307000;251;0
1562307600;494;0
1562308200;548;0
1562308800;637;0
1562309400;651;0
1562310000;771;0
1562310600;817;0
1562311200;959;0
1562311800;1131;0
1562312400;1240;0
1562313000;1270;0
1562313600;1384;0
1562314200;1450;0
1562314800;1685;0
1562315400;1755;0
1562316000;1842;0
1562316600;2078;0
1562317200;2362;0
1562317800;2549;0
1562318400;2777;0
1562319000;3156;0
1562319600;3380;0
1562320200;3481;0
1562320800;3699;0
1562321400;3794;0
1562322000;3821;0
1562322600;3913;0
1562323200;4132;0
1562323800;4146;0
1562324400;4325;0
1562325000;4769;0
1562325600;5045;0
1562326200;5471;0
1562326800;5775;0
1562327400;5845;0
1562328000;5896;0
1562328600;5949;0
1562329200;6096;0
1562329800;6270;0
1562330400;6358;0
1562331000;6439;0
1562331600;6912;0
1562332200;7084;0
1562332800;7308;0
1562333400;7375;0
1562334000;7578;0
1562334600;7915;0
1562335200;8043;0
1562335800;8094;0
1562336400;8301;0
1562337000;8505;0
1562337600;8763;0
1562338200;8880;0
1562338800;9009;0
1562339400;9201;0
1562340000;9382;0
1562340600;9543;0
1562341200;9796;0
1562341800;9846;0
1562342400;9970;0
1562343000;10075;0
1562343600;10167;0
1562344200;10379;0
1562344800;10544;0
1562345400;10911;0
1562346000;11280;0
1562346600;11751;0
1562347200;11810;0
1562347800;11996;0
1562348400;12170;0
1562349000;12255;0
1562349600;12298;0
1562350200;12388;0
1562350800;12621;0
1562351400;13279;0
1562352000;13555;0
1562352600;13673;0
1562353200;13807;0
1562353800;13817;0
1562354400;13899;0
1562356200;13991;0
1562356800;14079;0
1562357400;14095;0
1562358000;14141;0
1562359200;14172;0
1562360400;14230;0
1562390400;12;0
1562391000;467;0
1562391600;697;0
1562392200;757;0
1562392800;773;0
1562393400;1057;0
1562394000;1259;0
1562394600;1353;0
1562395200;1560;0
1562395800;1620;0
1562396400;1704;0
1562397000;1908;0
1562397600;2146;0
1562400000;2179;0
1562400600;2373;0
1562403000;2652;0
1562403600;2726;0
1562404200;2736;0
1562405400;2801;0
1562406000;2881;0
1562406600;3067;0
1562407200;3160;0
1562407800;3324;0
1562408400;3369;0
1562409000;3528;0
1562409600;3649;0
1562410200;3698;0
1562410800;3736;0
1562411400;4098;0
1562412000;4270;0
1562412600;4586;0
1562413200;4733;0
1562413800;5007;0
1562415000;5018;0
1562415600;5037;0
1562416200;5251;0
1562416800;5572;0
1562417400;5718;0
1562418000;5728;0
1562421000;5769;0
1562421600;6023;0
1562422800;6150;0
1562423400;6195;0
1562424000;6497;0
1562424600;6831;0
1562425200;6873;0
1562425800;6978;0
1562426400;7216;0
1562427600;7230;0
1562428200;7263;0
1562428800;7279;0
1562429400;7420;0
1562430000;7613;0
1562430600;7699;0
1562433600;7709;0
1562436000;7922;0
1562436600;8157;0
1562437200;8532;0
1562437800;8714;0
1562438400;9009;0
1562439000;9260;0
1562439600;9391;0
1562440800;9648;0
1562441400;9703;0
1562442000;9762;0
1562442600;9772;0
1562443200;9931;0
1562443800;10294;0
1562444400;10407;0
1562445000;10445;0
1562445600;10516;0
1562446800;10569;0
1562447400;10615;0
1562482800;36;0
1562484000;137;0
1562484600;148;0
1562485200;159;0
1562485800;246;0
1562486400;263;0
1562487000;335;0
1562487600;408;0
1562488200;438;0
1562488800;475;0
1562489400;543;0
1562490000;558;0
1562490600;619;0
1562491200;662;0
1562491800;832;0
1562492400;922;0
1562493000;1001;0
1562493600;1020;0
1562494200;1089;0
1562494800;1180;0
1562495400;1190;0
1562496000;1202;0
1562496600;1343;0
1562497200;1429;0
1562497800;1587;0
1562498400;1778;0
1562499000;1810;0
1562499600;1932;0
1562500200;1981;0
1562500800;2013;0
1562501400;2065;0
1562502000;2214;0
1562502600;2536;0
1562503200;2845;0
1562503800;3059;0
1562504400;3214;0
1562505000;3708;0
1562505600;3974;0
1562506200;4235;0
1562506800;4531;0
1562507400;4630;0
1562508000;5076;0
1562508600;5172;0
1562509200;5630;0
1562509800;6006;0
1562510400;6609;0
1562511000;7155;0
1562511600;7289;0
1562512200;7904;0
1562512800;8143;0
1562513400;8153;0
1562514000;8195;0
1562514600;8236;0
1562515200;8352;0
1562515800;8371;0
1562516400;8394;0
1562517000;8486;0
1562517600;8505;0
1562518200;8636;0
1562518800;8797;0
1562519400;9075;0
1562520000;9391;0
1562520600;10172;0
1562521200;10961;0
1562521800;11655;0
1562522400;12152;0
1562523000;12817;0
1562523600;13348;0
1562524200;13715;0
1562524800;13996;0
1562525400;14305;0
1562526000;14397;0
1562526600;14440;0
1562527200;14482;0
1562528400;14534;0
1562529600;14555;0
1562530200;14589;0
1562531400;14652;0
1562532000;14707;0
1562533200;14788;0
1562559600;77;0
1562560200;519;0
1562560800;650;0
1562561400;761;0
1562562000;796;0
1562562600;1455;0
1562563200;1706;0
1562563800;1999;0
1562564400;2015;0
1562566800;2597;0
1562567400;3505;0
1562568000;4287;0
1562568600;5037;0
1562569200;5139;0
1562571600;5181;0
1562573400;5329;0
1562574600;5356;0
1562575200;5393;0
1562575800;5419;0
1562576400;5429;0
1562577000;5530;0
1562577600;5686;0
1562578800;5764;0
1562579400;5882;0
1562581800;5898;0
1562582400;5912;0
1562583600;5935;0
1562584200;5947;0
1562585400;5972;0
1562586000;6209;0
1562586600;6786;0
1562587200;7276;0
1562587800;8095;0
1562588400;8918;0
1562589000;9337;0
1562589600;9666;0
1562593200;9688;0
1562594400;10014;0
1562595000;10636;0
1562595600;10898;0
1562596200;11014;0
1562596800;11040;0
1562597400;11181;0
1562598000;11310;0
1562598600;11465;0
1562599200;11626;0
1562599800;11699;0
1562600400;12259;0
1562601000;12360;0
1562601600;12704;0
1562602800;12775;0
1562604000;12942;0
1562604600;13073;0
1562605200;13287;0
1562605800;13417;0
1562606400;13593;0
1562607000;14016;0
1562607600;14278;0
1562608200;14571;0
1562608800;14849;0
1562609400;15191;0
1562610000;15459;0
1562610600;15592;0
1562611800;15636;0
1562613600;15796;0
1562614200;15868;0
1562614800;15931;0
1562615400;15962;0
1562616000;16086;0
1562616600;16202;0
1562617800;16321;0
1562618400;16348;0
1562619000;16390;0
1562619600;16509;0
1562620800;16519;0
1562623200;98;0
1562623800;379;0
1562624400;501;0
1562655600;517;0
1562656200;632;0
1562656800;776;0
1562657400;1111;0
1562658000;1387;0
1562658600;1428;0
1562659200;1442;0
1562659800;1609;0
1562660400;1693;0
1562661000;1768;0
1562661600;1964;0
1562662200;2308;0
1562662800;2337;0
1562663400;2442;0
1562664000;2533;0
1562664600;2742;0
1562665200;3202;0
1562665800;3833;0
1562667000;3893;0
1562667600;3921;0
1562670000;3934;0
1562670600;3954;0
1562671200;4485;0
1562671800;4647;0
1562672400;4706;0
1562673000;4716;0
1562673600;5254;0
1562674200;5594;0
1562674800;5606;0
1562675400;5916;0
1562676000;6022;0
1562677200;6406;0
1562677800;6600;0
1562678400;6655;0
1562679000;7256;0
1562679600;7402;0
1562680200;7420;0
1562680800;7436;0
1562682000;7603;0
1562682600;8167;0
1562683200;8397;0
1562683800;8422;0
1562684400;8529;0
1562686800;8552;0
1562688000;8566;0
1562688600;9325;0
1562689200;9598;0
1562689800;9864;0
1562690400;10111;0
1562691000;10193;0
1562691600;10442;0
1562692200;10859;0
1562692800;11124;0
1562693400;11341;0
1562694000;11586;0
1562694600;11971;0
1562695200;12472;0
1562695800;12757;0
1562696400;12881;0
1562697000;13425;0
1562697600;13574;0
1562698200;13733;0
1562698800;13806;0
1562699400;14009;0
1562700000;14086;0
1562700600;14375;0
1562701200;14774;0
1562701800;14877;0
1562702400;14928;0
1562703000;14971;0
1562703600;14986;0
1562704800;15057;0
1562733000;243;0
1562733600;667;0
1562734200;696;0
1562734800;713;0
1562735400;760;0
1562736000;949;0
1562736600;1835;0
1562737800;1847;0
1562739600;2436;0
1562740200;2803;0
1562740800;2885;0
1562741400;2912;0
1562742600;2944;0
1562743200;2980;0
1562744400;3025;0
1562745000;3171;0
1562745600;3209;0
1562747400;3259;0
1562748000;3298;0
1562748600;3333;0
1562751600;3352;0
1562754000;3382;0
1562754600;3568;0
1562755200;3631;0
1562755800;3729;0
1562756400;3764;0
1562757600;3804;0
1562758200;3856;0
1562759400;4292;0
1562760000;5032;0
1562760600;5293;0
1562761200;6166;0
1562761800;7045;0
1562762400;7234;0
1562763600;7245;0
1562767200;7723;0
1562767800;8062;0
1562768400;8311;0
1562769000;8554;0
1562769600;8650;0
1562770200;8731;0
1562770800;8776;0
1562771400;8838;0
1562772000;8960;0
1562772600;9331;0
1562773200;9732;0
1562773800;10075;0
1562774400;10346;0
1562775000;10680;0
1562775600;11077;0
1562776200;11560;0
1562776800;12028;0
1562777400;12401;0
1562778000;12639;0
1562778600;12841;0
1562779200;13028;0
1562779800;13477;0
1562780400;13615;0
1562781000;13805;0
1562781600;14337;0
1562782200;14523;0
1562782800;14610;0
1562783400;14776;0
1562784000;14905;0
1562784600;14996;0
1562785200;15106;0
1562785800;15123;0
1562786400;15166;0
1562787000;15454;0
1562787600;15545;0
1562788200;15622;0
1562788800;15649;0
1562789400;15661;0
1562790000;15674;0
1562790600;15885;0
1562791200;15976;0
1562792400;16029;0
1562824800;10;0
1562825400;204;0
1562826000;253;0
1562826600;454;0
1562827200;651;0
1562827800;934;0
1562828400;960;0
1562829000;1034;0
1562829600;1204;0
1562830200;1402;0
1562830800;1511;0
1562831400;1723;0
1562832000;1858;0
1562832600;2167;0
1562833200;2338;0
1562833800;2397;0
1562834400;2432;0
1562835000;2519;0
1562835600;2550;0
1562836200;2594;0
1562836800;2639;0
1562837400;2735;0
1562838000;2820;0
1562838600;2972;0
1562839200;3064;0
1562839800;3151;0
1562840400;3330;0
1562841000;3429;0
1562841600;4031;0
1562842200;4222;0
1562842800;4240;0
1562844000;4510;0
1562844600;5025;0
1562845200;5205;0
1562845800;5320;0
1562846400;5400;0
1562847000;5451;0
1562847600;5466;0
1562848800;5502;0
1562849400;5601;0
1562850000;5642;0
1562850600;5685;0
1562851200;5735;0
1562851800;5815;0
1562852400;5916;0
1562853000;6094;0
1562853600;6368;0
1562854200;6408;0
1562854800;6428;0
1562855400;6471;0
1562856000;6669;0
1562856600;6910;0
1562857200;7430;0
1562857800;7771;0
1562858400;7876;0
1562859000;8646;0
1562859600;9230;0
1562860200;9425;0
1562860800;9808;0
1562861400;10013;0
1562862000;10287;0
1562862600;10735;0
1562863200;10913;0
1562863800;11508;0
1562864400;11644;0
1562865000;11845;0
1562865600;12071;0
1562866200;12391;0
1562866800;12674;0
1562867400;12850;0
1562868000;12976;0
1562868600;13171;0
1562869200;13379;0
1562869800;13548;0
1562870400;13906;0
1562871000;14185;0
1562871600;14318;0
1562872200;14365;0
1562872800;14544;0
1562873400;14561;0
1562874000;14620;0
1562874600;14633;0
1562875200;14656;0
1562876400;14669;0
1562877000;14679;0
1562877600;14715;0
1562878200;14783;0
1562878800;14911;0
1562880600;14966;0
1562907000;61;0
1562907600;95;0
1562908200;562;0
1562908800;916;0
1562909400;933;0
1562910000;1046;0
1562910600;1532;0
1562911200;1769;0
1562911800;1919;0
1562912400;2063;0
1562913000;2099;0
1562913600;2237;0
1562914200;2360;0
1562914800;2670;0
1562915400;2968;0
1562916000;3294;0
1562916600;3471;0
1562917200;3568;0
1562918400;3589;0
1562919000;3719;0
1562919600;3829;0
1562920200;3991;0
1562920800;4209;0
1562921400;4274;0
1562922000;4398;0
1562922600;4667;0
1562923200;4861;0
1562923800;5163;0
1562924400;5416;0
1562925000;5585;0
1562925600;5729;0
1562926200;5787;0
1562926800;5834;0
1562927400;6189;0
1562928000;6439;0
1562928600;6753;0
1562929200;6896;0
1562929800;7009;0
1562930400;7324;0
1562931000;7507;0
1562931600;7620;0
1562932200;7799;0
1562932800;7937;0
1562933400;8200;0
1562934000;8361;0
1562934600;8467;0
1562935200;8607;0
1562935800;8716;0
1562936400;8772;0
1562937000;8841;0
1562937600;8987;0
1562938200;9397;0
1562938800;9600;0
1562939400;9873;0
1562940000;10005;0
1562940600;10228;0
1562941200;10310;0
1562941800;10497;0
1562942400;10633;0
1562943000;10843;0
1562943600;11161;0
1562944200;11406;0
1562944800;11558;0
1562945400;11815;0
1562946000;12466;0
1562946600;12823;0
1562947200;13447;0
1562947800;13835;0
1562948400;14529;0
1562949000;14718;0
1562949600;14804;0
1562950200;15117;0
1562950800;15187;0
1562951400;15211;0
1562952000;15372;0
1562952600;15639;0
1562953200;16203;0
1562953800;16434;0
1562954400;16486;0
1562955000;16510;0
1562955600;16520;0
1562956200;16735;0
1562956800;17087;0
1562957400;17277;0
1562958000;17609;0
1562958600;18161;0
1562959200;18599;0
1562959800;18805;0
1562960400;19077;0
1562961000;19268;0
1562961600;19347;0
1562962200;19368;0
1562962800;19693;0
1562963400;19788;0
1562965200;19877;0
1563001200;30;0
1563001800;329;0
1563002400;616;0
1563003000;637;0
1563003600;695;0
1563004200;716;0
1563004800;730;0
1563005400;926;0
1563006000;936;0
1563006600;1039;0
1563008400;1132;0
1563009600;1274;0
1563010200;1396;0
1563010800;1597;0
1563012000;1776;0
1563012600;1885;0
1563013200;2165;0
1563013800;2175;0
1563014400;2344;0
1563015000;2357;0
1563015600;2421;0
1563016200;2456;0
1563016800;2565;0
1563017400;2978;0
1563018000;3306;0
1563018600;3391;0
1563019200;3613;0
1563019800;3714;0
1563020400;3869;0
1563021000;3927;0
1563021600;3964;0
1563022200;4091;0
1563022800;4169;0
1563023400;4183;0
1563024000;4271;0
1563024600;4365;0
1563025200;4417;0
1563025800;4751;0
1563026400;5391;0
1563027600;6144;0
1563028200;6385;0
1563028800;6944;0
1563029400;7394;0
1563030000;7675;0
1563031200;8195;0
1563031800;8378;0
1563032400;8491;0
1563033000;8890;0
1563033600;9210;0
1563034200;9229;0
1563034800;9244;0
1563035400;9318;0
1563036000;9419;0
1563036600;10052;0
1563037200;10179;0
1563037800;10427;0
1563038400;10848;0
1563039000;11079;0
1563039600;11218;0
1563040200;11437;0
1563040800;11501;0
1563041400;11840;0
1563042000;12217;0
1563042600;12493;0
1563043200;12873;0
1563043800;13128;0
1563044400;13377;0
1563045000;13493;0
1563045600;13635;0
1563046200;13657;0
1563046800;13677;0
1563047400;13783;0
1563048000;14038;0
1563048600;14233;0
1563049200;14274;0
1563049800;14344;0
1563050400;14550;0
1563090600;39;0
1563091800;105;0
1563092400;484;0
1563093000;698;0
1563094200;713;0
1563094800;872;0
1563095400;898;0
1563096000;930;0
1563096600;961;0
1563097200;1003;0
1563097800;1055;0
1563098400;1088;0
1563099000;1179;0
1563100200;1195;0
1563100800;1205;0
1563101400;1288;0
1563102000;1305;0
1563102600;1328;0
1563103200;1492;0
1563103800;1615;0
1563104400;2014;0
1563105000;2283;0
1563105600;2571;0
1563106200;2587;0
1563107400;2688;0
1563108000;2860;0
1563108600;2937;0
1563109800;3029;0
1563110400;3126;0
1563111000;3541;0
1563111600;3800;0
1563112200;4014;0
1563112800;4293;0
1563113400;4635;0
1563114000;4788;0
1563114600;4936;0
1563115200;5051;0
1563115800;5079;0
1563116400;5177;0
1563117600;5230;0
1563118200;5304;0
1563118800;5527;0
1563119400;5648;0
1563120000;5684;0
1563122400;5789;0
1563123000;5946;0
1563123600;6109;0
1563124200;6358;0
1563124800;6410;0
1563125400;6620;0
1563126000;7055;0
1563126600;7095;0
1563127200;7322;0
1563127800;7683;0
1563128400;7885;0
1563129000;8194;0
1563129600;8260;0
1563130200;8274;0
1563130800;8417;0
1563131400;8567;0
1563132000;8600;0
1563132600;8651;0
1563133200;8790;0
1563133800;8934;0
1563135600;8956;0
1563136200;9021;0
1563136800;9059;0
1563139200;9099;0
1563140400;9212;0
1563141000;9222;0
1563166200;11;0
1563166800;111;0
1563167400;286;0
1563168000;803;0
1563168600;1385;0
1563169200;1433;0
1563171600;1988;0
1563172200;2274;0
1563172800;2400;0
1563173400;2586;0
1563174000;2783;0
1563174600;3161;0
1563175200;3548;0
1563177600;3666;0
1563178200;3925;0
1563179400;3951;0
1563180000;4096;0
1563181800;4190;0
1563182400;4865;0
1563183000;5260;0
1563183600;5366;0
1563184200;5713;0
1563184800;5889;0
1563185400;6036;0
1563186000;6185;0
1563186600;7011;0
1563187200;8028;0
1563187800;8795;0
1563188400;8898;0
1563189000;9224;0
1563189600;9275;0
1563190200;9487;0
1563190800;9816;0
1563191400;9869;0
1563192000;9893;0
1563192600;10330;0
1563193200;10648;0
1563193800;10716;0
1563194400;10917;0
1563195000;11766;0
1563195600;12412;0
1563196200;12491;0
1563196800;12782;0
1563197400;12829;0
1563202800;13407;0
1563203400;13873;0
1563204000;14106;0
1563204600;14156;0
1563205200;14341;0
1563205800;14437;0
1563206400;14830;0
1563207000;14882;0
1563207600;14971;0
1563208200;15099;0
1563208800;15440;0
1563209400;15520;0
1563210600;15598;0
1563211200;15744;0
1563211800;15813;0
1563212400;16027;0
1563213000;16275;0
1563213600;16583;0
1563214200;16697;0
1563214800;16754;0
1563215400;17173;0
1563216000;17359;0
1563216600;17720;0
1563217200;17932;0
1563217800;18250;0
1563218400;18685;0
1563219000;19004;0
1563219600;19116;0
1563220200;19606;0
1563220800;19934;0
1563221400;20013;0
1563222000;20046;0
1563222600;20064;0
1563223200;20174;0
1563223800;20241;0
1563225000;20269;0
1563225600;20325;0
1563226200;20356;0
1563253200;104;0
1563253800;1308;0
1563254400;2156;0
